ElementID,ParamID,Meaning,ValueType,SafeOrTypicalRange,Notes,ObservedValues,ObservedInFiles
Dynamic EQ,Band 2 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-21,70204926",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"1002,39117432; 1002,39178467; 3200,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,55000000; -0,60000000; -0,70000000; -0,75000000; -0,75000191; -0,85000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"3,00000000; 4,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Shape,Filter shape enum,enum int,verify from GUI/template,Do not change blindly,0,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-24,00000000; -24,50000000; -25,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 3 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"1616,85168457; 1616,85363770; 7200,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,40000000; -0,54999924; -0,55000000; -0,65000000; -0,95000000; -1,40000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"4,00000000; 4,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Shape,Filter shape enum,enum int,verify from GUI/template,Do not change blindly,0,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-24,00000000; -25,00000000; -26,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 4 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 5 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 5 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"12000,00000000; 4630,55029297",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 5 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,45000000; -0,80000000; -1,00000000; -1,35000000; -1,35000038; -1,80000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 5 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"3,00000000; 4,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 5 Shape,Filter shape enum,enum int,verify from GUI/template,Do not change blindly,0,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 5 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-21,35211945; -25,50000000; -26,50000000; -27,00000000; -27,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 5 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Dynamic EQ,Band 6 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",0; 1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 6 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"12259,36230469; 16000,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 6 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-2,00000000; -2,15000000; -2,29999924; -2,30000000; -2,70000000; 0,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 6 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-26,50000000; -27,00000000; -27,25000000; -27,25226593; -28,00000000; -30,00000000",Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Dynamic EQ,Band 6 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Active Band,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Dynamics,Auto Gain Compensation,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 0 Bypass,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 1 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 1 Comp Ratio,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"1,70000005",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 1 Comp Release,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"40,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
